origin_date,horizon,target,location,output_type,output_type_id,value,age_group
2025-01-05,1,inc hosp,US,quantile,0.01,2804.6851646247424,0-130
2025-01-05,1,inc hosp,US,quantile,0.025,3811.560713632568,0-130
2025-01-05,1,inc hosp,US,quantile,0.05,4520.866411335105,0-130
2025-01-05,1,inc hosp,US,quantile,0.1,5296.597561219823,0-130
2025-01-05,1,inc hosp,US,quantile,0.15,5816.898890525883,0-130
2025-01-05,1,inc hosp,US,quantile,0.2,6235.665952374497,0-130
2025-01-05,1,inc hosp,US,quantile,0.25,6601.2145376213575,0-130
2025-01-05,1,inc hosp,US,quantile,0.3,6937.802134597838,0-130
2025-01-05,1,inc hosp,US,quantile,0.35,7259.107560077059,0-130
2025-01-05,1,inc hosp,US,quantile,0.4,7574.1907436805795,0-130
2025-01-05,1,inc hosp,US,quantile,0.45,7890.906487566217,0-130
2025-01-05,1,inc hosp,US,quantile,0.5,8216.240449187462,0-130
2025-01-05,1,inc hosp,US,quantile,0.55,8558.050174704971,0-130
2025-01-05,1,inc hosp,US,quantile,0.6,8924.725254135352,0-130
2025-01-05,1,inc hosp,US,quantile,0.65,9329.222974981487,0-130
2025-01-05,1,inc hosp,US,quantile,0.7,9787.354170159098,0-130
2025-01-05,1,inc hosp,US,quantile,0.75,10323.81339430849,0-130
2025-01-05,1,inc hosp,US,quantile,0.8,10977.750676165895,0-130
2025-01-05,1,inc hosp,US,quantile,0.85,11817.461938140745,0-130
2025-01-05,1,inc hosp,US,quantile,0.9,12976.838881475069,0-130
2025-01-05,1,inc hosp,US,quantile,0.95,14937.81288268339,0-130
2025-01-05,1,inc hosp,US,quantile,0.975,17049.884155929234,0-130
2025-01-05,1,inc hosp,US,quantile,0.99,20366.957945842856,0-130
2025-01-05,2,inc hosp,US,quantile,0.01,2145.6476859094073,0-130
2025-01-05,2,inc hosp,US,quantile,0.025,2985.0194292892998,0-130
2025-01-05,2,inc hosp,US,quantile,0.05,3617.8902871575337,0-130
2025-01-05,2,inc hosp,US,quantile,0.1,4329.523299494213,0-130
2025-01-05,2,inc hosp,US,quantile,0.15,4815.052232155498,0-130
2025-01-05,2,inc hosp,US,quantile,0.2,5211.192736601688,0-130
2025-01-05,2,inc hosp,US,quantile,0.25,5561.612361681414,0-130
2025-01-05,2,inc hosp,US,quantile,0.3,5887.776846712451,0-130
2025-01-05,2,inc hosp,US,quantile,0.35,6203.272471945156,0-130
2025-01-05,2,inc hosp,US,quantile,0.4,6516.977757528572,0-130
2025-01-05,2,inc hosp,US,quantile,0.45,6837.10882751695,0-130
2025-01-05,2,inc hosp,US,quantile,0.5,7171.459744529834,0-130
2025-01-05,2,inc hosp,US,quantile,0.55,7528.69835555148,0-130
2025-01-05,2,inc hosp,US,quantile,0.6,7919.217039557709,0-130
2025-01-05,2,inc hosp,US,quantile,0.65,8359.80843017773,0-130
2025-01-05,2,inc hosp,US,quantile,0.7,8866.860158302461,0-130
2025-01-05,2,inc hosp,US,quantile,0.75,9472.2718872823,0-130
2025-01-05,2,inc hosp,US,quantile,0.8,10221.276377072525,0-130
2025-01-05,2,inc hosp,US,quantile,0.85,11182.123197001742,0-130
2025-01-05,2,inc hosp,US,quantile,0.9,12475.461827188834,0-130
2025-01-05,2,inc hosp,US,quantile,0.95,14515.846623513191,0-130
